characteristic,content
C4,ambers moldings were rigorously tested and tuned
C7,check out video and watch amber come together
C4,a simple test of ambers prototype
C10,amber will come in multiple colours
C10,yes like iphones and apple watches
C6,timeline
C2,cleargrass team founded
C2,ambers design concept completed testing and evaluation completed
C4,evt engineering verification test delivered
C4,dvt design verification test delivered
C4,pvt progress verification test small batch production begins
C10,specifications
C10,amber can fully charge apple watch up to times or iphone iphone plus once
C10,power in microusb compatible with adaptors outputting both va and va
C10,power out usb apple watch magnetic charging connector va max
C10,power out usb va max
C10,battery mah v
C10,dimensions mm in
C10,weight g oz
C10,materials aluminium plastic
C10,bluetooth le
C8,rewards
C1,hey apple watch users you ever wanted a charging case with a built in battery
C2,we are making one
C10,it is called amber check it out
C10,insert and twine your apple watch charging cable around the spoole
C10,then place it back in amber
C10,next use the shell to cover up the school then amber is ready to use
C10,at night charger apple watch and amber
C10,during the day put amber in your bag in case you it
C10,amber can be used any time and any place to charge your apple watch even while walking
C10,amber is design shares the same style with apple products
C10,amber can charge your iphone
C10,use amber to charge your watch while taking a break and grabbing a coffee
C10,or use amber to charger apple watch while driving
C1,sometimes we all want to away the weekend outdoor adventure
C10,do not forget to bring amber with you when you go camping
C10,amber comes with its own
C10,you can notifications when your watches fully charged
C10,amber comes in multiple colors
C10,amber can charge your apple watch up to x
C10,using amber is save
C4,we already completed a working prototype and your support the next stage of production
C7,we hope that apple watch users from around the world will support amber thank you
C10,feature
C5,review
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,feature
C10,feature
C10,design
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C2,story
C10,design
C10,design
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C10,dobot is super easy to control
C10,easy usability comes during the design of dobot
C2,we given a lot of thought users without technical backgrounds and how to help them better control robotic arms
C9,in order to make young yearsold kids able to use dobot in ease we done extensive research and designed controlling methods including pc mobile eeg voice vision leap motion and gestures whichever suits your purpose the best
C10,stepper motor dobot works quietly
C2,we considered where the users will be using it and tired our best to make the noise level low possible
C2,by using customized stepper motor we are able to minimize noise level making dobot much quieter lowcost servo robotic arms and householdfriendly
C10,heres a comparison video with servo based robotic arms
C10,dobot is open source
C10,dobot will be open sourced after the kickstarter campaign
C2,a group of devoted open source fans we believe open source makes the world better by levering the power of collective minds
C2,yet to help you understand better of what we do we are working around the clock some of the code that notations and explanations
C6,but we make our promise here that after the kickstarter campaign we will upload the code
C7,keep in touch there are surprises to come
C10,dobot supports three opensource firmware special application and developer
C1,even exciting makers
C10,dobot supports three opensource firmware special applications and developers with different programming preferences
C2,complete developed by dobot team easy developers familiar with industrial robots
C1,base grbl httpsgithubcomgrblgrbl easy developers familiar with open source cnc machine
C1,base marlin httpsgithubcommarlinfirmwaremarlin easy developers familiar with reprap compatiable d printer
C10,we provide communication interface opencv httpopencvorg to add vision to dobot
C2,dobot is a maker team and we create what is best makers
C10,we use arduino the controller
C10,although when tackling some critical problems we found might not be the perfect solution after continuous improvements we believe could equip superb functionality with dobot
C10,processing is the widelyapplauded data visualization and programming platform beginners
C1,simply drag and click you can program dobot at your will its userfriendly interface
C10,scratch is a briiliant visual programming language that is widely used by children artists and makers
C10,it helps them to control and program all types of electronic devices and interactive products
C9,dobots control is based the easyforunderstanding serial communication protocol whose working principles are all opensourced
C6,we will add manpower in developing control extensions based scratch and believe will make operating dobot applications easier children enabling them to bring their ideas to life
C10,arduino library
C5,we included diversified written motion functions user to make their own dobot code community
C2,we included forward and inverse solution point to point line jump path planning everything is open source and you can make it better
C10,these code examples very similar principles to industrial robot developing and they are very useful one who wants to understand how industrial robot works
C2,in our code we provide the limit and working range protection various joint and coordinate commands combine these functions and you are the magician
C10,electronic parts
C2,our initial thought was to design a shield the arduino mega connecting mega and stepper driver boards and to contain a current amplifying module to drive the vacuum pump and the solenoid valve
C10,meanwhile it can manage driving servos with steppers
C2,based that we modified the design to accommodate users thus another shield of arduino was born to satisfy all of the above functions
C10,eliminates the constitute of stepper driver boards and reconsiders the measures overcurrent protection and heat dissipation
C2,our core competency is to employ fewer wires with a better outlook ensured
C10,tech spec
C8,rewards
C10,the quality assurance
C10,mechanical parts
C2,how dobot is made and how we made its incredible precision level possible
C10,the mechanical structure entirely employed cnc cutting technology
C10,key parts the machinery accuracy has reached mm
C10,joint connections adopted high accuracy axes coupled with chrome alloy interference lit ensuring structural stability and accuracy
C10,the motor side dobot designed the high accuracy speed reducer motor providing consistent motor power the robot arm
C10,the material side dobot was made of high strength aluminium alloy and processed by anodic oxidation treatment to ensure the sleekness and strength of the surface
C2,heres some details about the manufacturing we chose the high performance cnc machine instead of laser cut to guarantee a mm precision provides the basis of our high quality
C2,software we done a great deal of optimization
C10,the software supports speed lookahead small line blocks interpolation algorithm able to fit any type of curve and ensure processing efficiency
C10,moreover with the three axes linkage method fine interpolation you can control the trajectory of the end effector of the dobot accurately empowering it with complex curvilinear motions
C10,dobot is affordable
C2,we wanted to make sure dobot is accessible to everyone
C2,through immense effort and countless negotiations with suppliers we were able to better deals without compromising the quality and reliability
C2,that is how we made the price affordable users could use it
C2,we are at our beginning stage and would like to invite you to help promote dobot people passionate about making could know about us
C7,we will offer discounts and refunds to show our appreciation your support
C7,to do after you purchase dobot simply fill out the dobot promotion code will be included in the package and paypal account information and we will return us dollars to your account
C8,you can choose gifts with equal value and we will ship it to you along with the package
C8,how to the dobot promotion code
C5,if you repost or comment our post facebook pagegroup we will randomly select the users to whom we will give the dobot promotion code
C5,you can in touch with reviewers and community influencers they will be distributing dobot promotion codes to lucky fans and devoted users good luck
C8,keep posted with the update the promotion information
C6,how things going
C10,why kickstarter
C2,we spent years developing our core technologies
C5,we active passionate community to provide us feedback
C7,with your support we can hire additional help and scale our production capabilities
C7,thank you taking the time to learn about our mission to enable seamless design and manufacturing
C7,feel free to write to us what do you think about dobot and what do you want us to add to make it better you
C2,read the story of dobot
C2,dobot is created by the dobot team
C2,we are committed to creating a desktop and familymode industrial robot to control that everyone can a desktop assistant and family assistant is easy to assemble and control empowered by high precision
C2,a group of six industrial robot engineer we love robot design and we are hoping to satisfy the needs of the people the desktop manipulator with the lowest cost and simplest control method
C2,we firmly believe that multiple cooperative robots or even a production assembly line will appear your desktop in the future we launch a series of new models
C7,if you still other questions you can post a comment or send email to us dobotinfogmailcom or contact us via our facebook page we will answer you soon possible
C5,partner
C1,what did we think the future would look like years ago
C2,we thought there would be a way to save up our time and excel at multitasking
C2,we thought the way we things done would change smarter efficient and economic
C10,it did introducing dobot the affordable robotic arm created not only makers
C1,dobot is a great assistant educators designers artists and scientists and even everyday use
C10,makers it s a unique product of its kind that allows you to study robotic technology and coding
C10,it will provide endless opportunities when it goes fully open sourced
C2,we create a software dobot where all users will be able to write their own command upload them to the server and share with other users creating a database of a limitless variety of dobot applications
C10,the new axes dimension movement capability allows dobot to use a lot less desk space its performance
C2,we took the best from the industrial robot keeping their high quality and added a number of innovative improvements
C2,we created a the code allowing it to operate at never before precision and multi functionality
C10,with exceptional aluminum alloy fusion we achieved the best possible durability and lightweight of the components
C10,noumore small details along with changeable nozzles different typs of performance allow dobot to be precise and agile any other robotic arms of generation
C10,let us take a closer look and how it works
C2,we developed that helps you to remote control it using bluetooth
C10,it can be operated with a pc use a downloaded command from the global do bot server or write your own
C10,it can be controlled with gesture motion equipping sensors that track your hand movement
C10,using the microphone in your phone you can input commands with your voice
C10,do bodies able to recognize shapes and colors with a portable web camera but it does not end there
C10,you can download and share new code different kinds of item recognition
C10,you can control it using the leap motion that can register your hand movement you hover your hand over the sensor
C2,we managed to apply a revolutionary technology of mind control eeg allows you to operate dobot with your concentration
C1,it happened dobot a robot everyone and everyday use
C7,thanks
C7,share
C7,share
C7,share
C7,share
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C5,review
C5,review
C10,design
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C2,story
C10,feature
C10,design
C10,feature
C10,feature
C10,feature
C8,rewards
C8,rewards
C8,rewards
C2,story
C2,story
C2,story
C10,explanation
C6,timeline
C10,design
C2,team
C2,team
C10,design
C5,partnership
C5,partnership
C5,we featured the gadget flow at thegadgetflowcom and rated a perfect of stars by of their reviewers
C10,gadget flow
C10,kickstarter friends
C7,thank you looking at our design project
C10,velostrap is unbelievably simple stable and inexpensive way to attach a smartphone to the handlebars or stem of a bicycle
C10,velostrap mounts any device in a portrait or landscape position up front where you convenient and direct access to it
C10,velostrap in landscape mode
C10,velostrap in portrait mode
C2,my idea started back in while i was recovering from a motorcycle accident
C1,the issue then was my cellphone was always falling from anywhere it was placed while moving in my wheelchair
C1,if i put it in my rear pocket i would sit it if i put it in my front pocket it was impossible to reach
C2,the thought of something quick and easy to hold the phone became a set of rubber bands that wrapped around the phone and under one of the handles the wheelchair
C2,it worked fairly in fact much better i had hoped
C2,still doing wheelies
C2,early rubber bands iphone and wheelchair the beginnings
C2,a very used set of rubber bands
C2,part of my exercise routine after being in the wheelchair was thankfully riding a bicycle again but i rode my lingering problem with exceptions to my back was still the cell phone
C2,where do i put it the realization of how these worked a bike became obvious after my ride
C2,early design worked keeping the rubber bands straight was a problem but the ideas morphed from here
C10,the quick and easy access with the rubber bands was undeniable and if you ride a bicycle like us you can attest to
C10,it easily fixed these issues
C10,fumbling with it in pockets
C10,ringing in the backpack ugh and having to search it
C10,realizing it was a call that did not to be answered
C10,changing songs or music settings
C10,having to stop and start riding again
C2,i met a mountain biker the trail recently that had his iphone in a ziplock baggie stuffed in his lycra shorts wth really
C2,top of all these issues we all seen the badly designed cell phone mounts available that do not work in the real world
C1,they are expensive tools to install and remove are cumbersome to attach do not fit all cell phones meaning the upgrade to your new phone requires another mount equaling will snap and break with minor impacts from dropping or laying down the bike but most of all they look absolutely hideous sticking up from the handlebars
C1,any selfrespecting cyclist would not buy one of these let alone attach it to their favorite bike
C5,here below are some quotes about some of the selfdescribed best other mounts out there a very popular and respected review blog
C10,problem with all these bling cases is they are expensive
C2,i am waiting till they come out with a iphone case i can use my new phone
C10,but there is still the lightening adapter issue with external batteries
C10,looks nice but it does not work
C5,if i may add to review
C2,i am my second failed xxxxxxxx case and my second bike mount
C10,saw and got hyped
C10,saw the price and did not enjoy it any
C10,samsung galaxy user here
C10,any thoughts producing something us
C10,the phone case looks great but it will not accommodate my iphone with the mophie juice pack and i cannot use my mountain bike rides without the extended battery life
C10,make a case that takes a mophie into account and i will seriously consider buying one and and
C10,the time velostrap is
C2,one of the earlier d designs of velostrap
C10,a production run early velostrap
C10,rd generation clear velostrap simplistic and useful design
C10,a perspective of the size of velostrap
C2,our rd design is the clear velostrap in the photos
C10,it is simplistic design allows the user to easily attach a cellphone smartphone or other device to any landscape or portrait position their bike from the handlebars to the stem
C10,it is easy to attach and remove that you can even do it with gloves and while you are still riding
C10,there are no straps to loop over or through velostrap
C10,pull over the ends of your phone and it is secured
C10,side shot showing how velostrap secures your device
C10,minor crashes and impacts are no problem we designed velostrap to allow small movements to keep the hard jarring to a minimum
C8,unlike the other mounts available velostrap is inexpensive we plan pricing at plus shipping and fits devices from ipods all iphones including the s plus sony xperias htc etc
C10,it fits large phones like the huge samsung galaxy note
C10,velostrap mounts and dismounts easily with no tools to install and last but certainly not least velostrap looks great and enables the user to full access to the controls of their digital displays right at their fingertips
C10,and if you are a photo taker while your rides like me velostrap makes it super easy removing and reattaching watch the video
C10,velostrap does not take away anything from the looks of your bike and in fact looks right at home sexy
C1,with apps and music available these new smart phones it makes complete sense to attach a device to your bike
C10,you can of course listen to music but speed time elevation and other information in realtime with basic applications available from apple and android
C1,within the last year or heart rate monitors and are available
C1,even if you do not use these apps it is a great idea to a phone attached like easy and quick use in case like me with family someone needs to reach you
C10,velostrap works with all smartphones including iphone plus
C10,iphone in portrait position
C10,sony xperia portrait mode
C10,velostrap even works with items small the st gen ipod nano
C10,velostrap works with beach cruisers townies etc
C10,beachcruiser and sony portrait mode
C10,velostrap works with road cyclocross and and other handlebar combos
C10,like bmx bike
C10,navigation ready to use at your fingertips
C10,landscape navigation
C10,velostrap is the culmination of our work to perfect riding with a smartphone
C10,friends and family put literally hundreds of untold miles different variations of bikes from road bikes to mountain bikes to beach cruisers to stationary bikes and even treadmills using velostrap without one single failure
C10,although velostrap looks like a simple piece of rubber that could never hold a phone rest assured it works described
C10,the tension and composite materials of velostrap adjusted through several designs to make sure it attaches your cell phone properly
C1,other soft mount designs before velostrap would you believe that you to loop the strap or rubber device around itself to protect it before hanging it your handlebars is absolutely not the case
C10,in fact these designs sit the phone up higher and make them unstable all we suggest is that you a good case to keep the movement over rough terrain from scratching your device
C10,watch the video and you can see even with a hard plastic phone case around the doublesided glass sony xperia how velostrap controls the hard impacts and keeps your expensive phone secure
C10,velostrap can even hold your creditdebit cards and drivers license when not attached to your bike
C10,or attach it like with another velostrap
C2,here is what is finished with our velostrap project far
C2,d designs updated and paid and rd generation design is done
C2,composite materials decided correct tensions and strength
C2,the molds at the manufacturer are made and ready to go
C2,manufacturer has already sent us final design pieces of velostrap
C4,field testing is done and velostrap is ready st production run
C5,velostraps website is finished and will be up and running the kickstarter community can view it the purchase features will not be working and there will be several updates to the pictures and video
C3,logos and branding are almost completed and trademark plus copyright applications are ready to be filed
C3,the provisional patent velostrap has filed paid and receipted
C6,what the kickstarter funding will be used
C6,pay the initial order of velostraps november
C6,ready orders november
C6,start and finish deliveries to kickstarter funders january
C6,velostrap online store open business march
C10,wwwvelostrapcom
C10,velostrapit simply works
C10,since the initial and important things with velostrap already done bringing velostrap to market will be very quick
C8,once funding closes through kickstarter the website will be fully operational and working and we will be ready to accept orders online but not before fulfilling our kickstarter funders
C7,help us bring velostrap to market
C2,hi kickstarter friends my name is paul dodenhof
C7,thank you taking a look at our design project velostrap
C10,the simple reliable and inexpensive way to attach any smartphone to a bicycle
C10,is velostrap and is how easy it works
C2,the actual idea velostrap came while i was recovering from a motorcycle accident
C2,my dr had me wheeling around in a wheelchair and i could not figure out where to put my phone
C1,you can imagine your hands are always in use with a wheelchair making holding a phone nearly impossible
C2,because i used my device much pictures with family etc it became necessary to device something that would work
C2,i took three rubber bands and it worked very in fact much better i would ever hoped
C2,after i started riding bicycles again it dawned to me that that idea worked incredibly with bicycles too
C2,that was the beginning of velostrap
C10,unlike hardmounts to jar your phone over every bump in the trailer road we designed velostrap to allow slight movements while you ride to keep the hard jarring over bumps to absolute minimum
C10,hardmounts are expensive they to be assembled with tools they usually work with only one model of phone means spending money a new mount when you a new phone but mostly they look horrible the front of your bike
C5,and check out what these youtube reviewers said about their hardphone mounts
C10,i right trails means it is the nice smooth road the most part but there was a crack in the road that i could not avoid and when i ran over at my phone was little attachment piece here and after i ran over the crack my phone went flying with
C10,we finished filming another way back to straight out of the mount even though it was secured
C10,phone falling of your bike not with velostrap
C1,let us to some action video you can see firsthand how velostrap works
C2,video we are going to use a mountain bike that has no front suspension and no rear suspension you a real view of how velostrap works some of the most demanding terrain in southern california
C1,you might be thinking that you would not trust a piece of plastic with your expensive smartphone but do not underestimate the simplistic design
C10,velostrap does use the latest in high tech composites to make it work and everyone can a real sense of how durable velostrap is how much we trust the design we made outrageous and overblown video of velostrap in action
C2,we went to local skater hang out is a concrete staircase that will literally jar your teeth loose you go down it
C10,with no suspension test would be over the top any bike component but especially a cell phone holder
C2,i put velostrap upside down check out
C10,what you see in the video is the same thing that happens in crashes
C10,the phone moves enough to reduce the impact but stays attached to the bike it does not jarred and damaged or simply fly off
C10,velostrap is simplicity at its best
C10,you can see velostrap works and it does it with no clunky contraptions attached to the front of your bike
C10,one of the greatest features of velostrap is the ability to quickly shoot photos
C1,when it is right at your fingertips you never miss the shots or having to fumble through your pockets or backpack to located
C10,wearing gloves do not even try with the other mounts
C10,even the soft rubber mounts similar to velostrap were a pain in the butt with gloves because of their design but with villa strap it is no problem
C10,you a quick picture while you are still riding again no problem
C10,it is easy with velostrap and if you a phone call that has to be answered it simply unhooks easy access
C10,no searching while your phone is ringing find out you did not even to answer the call
C10,with velostrap you can see the call or text right in front of you
C10,velostrap works with iphones like the iphone like iphone and the new iphone plus it works samsungs like galaxy s works sony s like xperia and even works larger phones like the samsung note but the nice thing is that it works small devices like the ipod nano
C10,it will work beach cruisers road bikes cyclocross bikes like one and of course it works mountain bike
C10,velostrap fits them all no to replace your mount every time you a new phone and it under retail it is enough of a bargain that you can buy one your friends and family
C10,listen a cyclist and a rider you and i know it is not the actual act of carrying a phone that is issue it is the fact that velostrap makes it convenient when it is right at your fingertips
C10,when you are done with your ride hang velostrap your handlebars and it is ready your next ride
C10,and if you buy velostrap you can even attach a debit card or credit card those quick rides when you do not space them elsewhere
C2,i around bicycles my whole life from bmx in the s till mountain bikes
C2,i used a lot of different parts over the years some worked and some of them did not
C2,i know velostrap is our invention but rest assured velostrap will change the way you ride
C4,our velostrap project is underway we already paid the molds and several final design bella straps tested durability and function
C2,our selling website is build and paid
C2,the advertising logos are almost done
C3,the patents filed and payed and the trademarks are being registered
C6,alle we is you our kickstarter friends to bring incredible product to market
C8,of course if you ride any bike at all it makes sense to pledge to help but you can help by sharing our kickstarter project page and by contacting others about velostrap through facebook youtube instagram and other sites
C10,there are many cell phone mounts the market today but nothing like velostrap
C7,please help fund our project and product available to every rider out there
C7,thank you very much
C10,design
C10,design
C2,story
C2,story
C2,story
C2,story
C2,story
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C7,share
C10,hello kickstarter family
C2,my name is jacob bottles and i am a design student from eagle idaho and creator of the land shark dry bag backpack
C2,the concept the bag came about i was searching a high quality and durable waterproof backpack but all that i could find were bags that were ridiculously overpriced
C2,i set out to solve problem by designing and creating a reasonably priced waterproof backpack
C2,since receiving the sample early summer i many adventures and backpacking trips and bag went with me all of them
C2,i can confidently say that bag can withstand a beating and will keep your things dry and safe
C10,the land shark dry bag backpack is affordable outdoor dry bag able to withstand any element nature has to offer
C10,whether water snow sand dirt or dust you can ensure that your things will be kept dry and clean in durable backpack
C10,the main compartment when rolled shut will keep out water sand dirt and grime out protecting your belongings
C10,the bag features a front mesh pocket and a smaller front zipper compartment with opening to store board shorts swimsuits or anything else that is already wet or damp to keep them from getting musty and allow them to dry out
C8,bag has a retail value of and you can yours kickstarter
C6,once the funds are raised and the project is backed we will send out order to our manufacturer overseas who we a great relationship with
C6,they will then make the product and ship it back to us in the us
C6,process with take about weeks once we receive the product we will then ship them out to you the backers
C8,once the campaign ends and we are funded you should receive your bag within days
C2,hey friends my name is jacob bottles and i am design student from eagle idaho and founder of landshark dry goods
C2,growing up in idaho i spent a lot of time in the outdoors hiking camping kayaking fishing skiing
C2,i always had a tough time keeping my things dry and clean because i did not the money to buy a nice waterproof and durable backpack
C2,that is where the idea the landshark dry bag came about
C2,i wanted to create affordable designed dry bag that meets the needs of outdoor enthusiasts that sells directly to consumers cutting the price from to
C10,along with the main compartment the bag has a front mesh pocket that you can store your wallet keys phone or any other small items a front zipper pocket with opening to put your board shorts swimsuit or any other damp items to keep the rest of your bag from getting musty
C2,we a great relationship with our manufacturers overseas and from the time the kickstarter ends to the time the products at your doorstep is about days
C7,check out the pledges blow
C7,and whether or not you decide to back us we would love you to share it with your friends and family we appreciate your support
C10,design
C10,design
C10,design
C10,with these high performance speaker drivers the projection of sound captured by the headphones will be meaningfully upgraded
C10,you will the best of all worlds the safest listening experience added durability and amazing high fidelity sound
C10,what you will with better drivers
C2,the aegis story
C2,we want to protect those we love
C1,the trouble is that no one wants to admit they cannot hear it is difficult to tell if someone is suffering from hearing loss
C9,our ears are exceptionally delicate and todays unsafe listening practices are damaging our longterm hearing
C2,sixteenyearold kingsley cheng with a dedicated initiative to help children teens and adults protect themselves and those they love from noiseinduced hearing loss is set to revolutionize safe listening habits
C10,introducing the aegis pro
C10,whether it is in our music or our gaming the world health organization advocates we protect our hearing by keeping the volume down
C10,with the volume limiting and noise cancelling technology of aegis pro headphones we can do that
C10,aegis pro is the worlds and only studio quality wireless headphones outfitted with our newly optimized jamsdefender technology a technology combining volume limiting active noise cancellation and digital decibel equalizer
C10,todays music and gaming audio is recorded at different and sometimes unsafe volumes
C10,our aegis pro digital decibel equalizer optimizes the originally recorded volume while the db volume limiting circuitry ensures the audio no matter how high the volume is cranked retains its quality at safe levels
C10,you can enjoy wireless listening freedom and mobility while the active noise cancelling anc system reduces unwanted ambient sounds
C10,you can increase productivity you focus your work anywhereanytime
C10,you will hear nothing but your audio
C10,our stylistic aegis pro headphones are loaded with premium features less money
C10,aegis acoustics is working to change the way the world listens to music and audio all while protecting millions from hearing loss
C10,noiseinduced hearing loss
C9,noiseinduced hearing loss is caused by two factors loudness measured in db decibels and length of exposure
C9,it is the combination that can lead to permanent hearing loss
C9,anyone listening to audio above db extensive periods is at high risk
C10,digital decibel equalizer technology
C1,a risky imperfection with current generation volumelimiting technology is that the preset volume may read higher the recommended safety level of db
C10,our digital decibel equalizer technology normalizes the source volume down to db before bringing it back up to a safeguarded level of db
C10,not found in other products it is the safest and most consistent solution in the market today
C10,our innovative active noise cancellation technology cancels out distracting ambient noise up to improving both clarity and perception of volume
C10,immersed in your audio no longer will you be distracted when listening to music or playing games in noisy environments
C10,led indicators
C2,our dream is to promote responsible listening habits while enhancing the music movies andor gaming experience
C10,the led lights active monitoring system that lights in blue indicating safe levels yellow indicating reasonable levels and red indicating unsafe levels track and display listening duration
C10,the leds are positioned both ear cups designed parents can see and be assured their child is adhering to healthy listening durations
C10,there is a fun light show mode illustration purposes the lights can be switched off entirely if necessary
C10,the listening duration indicator continues to monitor duration even when lights are off
C10,active noise cancelling
C10,our advanced anc technology works with four builtin microphones that intelligently analyzes your surroundings and reduces noise levels with opposite frequency that cancels out ambient noise thereby giving your db volume much listenable clarity
C10,the cutting edge system allows users optimal choice of three different modes based the acoustic environment music movies and gaming
C10,dual speaker driver design
C1,it is time young and old alike to discover the perfectly balanced music and gaming audio produced by our twoway dual driver design strategically positioned in each ear chamber
C10,tuned with precision the dedicated low frequency driver harvests a deep smooth bass that blends into rather overwhelms the audio while the high frequency tweeter replicates crisp natural vocals
C10,you can relax and fully engage in your favorite sounds
C1,why is important it is all about what audioholics call the dumbing down of audio a trend of new generation listeners preferring the hypercompressed format of mps because their ears corrupted by lowquality tinny sound
C1,young listeners today are used to audio presented in low quality forums that their perception of quality sound has dramatically reduced unfortunately preference corrupted sound can destroy their hearing
C2,jonathan berger music professor at stanford university who has conducted acoustic tests with incoming students believes preference lowquality sound is a learned behavior
C9,his studies suggest that the lowquality pops and crackles call up memories of listening to vinyl transporting listeners back to the analoglistening days of their experiences with audio
C1,whether you prefer digital or analog you know good sound when you hear it
C1,those who fell in love with the tinny compressed sounds from their earbuds simply do not recognize quality audio
C9,nor do they understand that their hearing is at risk
C10,it is time to change all that and aegis pro headphones are the best way to do
C10,dual connectivity
C10,vacation at school or dancing in your room you will not wires snaking around your backpack pocket or desk
C10,you can pair and play aegis pro with bluetooth or any other compatible device all with the mobility to move freely up to feet from your source
C10,you can enjoy hours of wireless freedom with the builtin rechargeable lithium ion battery a mm auxiliary jack allows you to activate wired listening when necessary
C10,to ensure volume levels do not exceed db safe listening is enforced continuously
C10,the wired functionality will only work if the battery has a charge or is charging
C10,additionally convenient buttons the ear cup let you manage your calls playlist and volume your bluetoothenabled phone
C10,what if you a call while you are watching a movie gaming or listening to music
C10,one click the headset instantly connects you to your call the built in micrphone allows you to engage in crystal clear conversations
C10,click again and you can play pause skip tracks andor make calls of your own
C10,comfort and durability
C10,every element is precisely tailored to each listeners wants and needs
C10,distinctively shaped curves durable frame structure carefully selected hypoallergenic memory foam inside the ear cushions perfect grip pressure the adjustable lush headband foldable ear cups the stylish design and our led light show are all designed to soothe and stimulate the senses aegis pro provides the ultimate listening experience
C10,with our newly optimized jamsdefender technology and precisiontuned dual speaker drivers the introduction of aegis pro represents a bold step forward in the evolution of high performance headphones youth and adults alike
C10,what is inside
C10,detailed mechanical structure shows a behind the scenes of aegis pro headphones
C10,each is engineered style comfort and the ultimate fit every element is designed to make them the perfect headphones
C10,we believe the best way to address the problem of noiseinduced hearing loss is to change the way audio is consumed by the young
C10,with our strong passion sound is how we got started with aegis pro headphones we ensured that every detail of engineering is designed to perfection
C7,join us in journey toward safe sustainable sound
C7,stretch goal reached high end speaker drivers
C7,stretch goal will bring your listening experience to the next level
C10,every single aegis pro will suped up speaker drivers value
C6,by exceeding our goal we continued striving to give you the best possible value the amount that you pledged
C4,we spent the past week testing out and comparing different upper end speaker drivers to see ones could combine best with aegis pros design to reproduce the highest fidelity sound
C10,with these high performance speaker drivers the projection of sound captured by the headphones will be meaningfully upgraded
C1,immersing yourself in your favorite music movies and gaming would never be the same leaving all limitations behind
C10,what you will with better drivers
C7,stretch goal reached hard case
C8,k is achieved
C10,every single aegis pro will come with a hard case
C10,it is a stylish and rigid eva rubber hard case formed to protect and securely hold the aegis pro in place
C10,inside it there is additional pocket to store the cables and the charger
C8,why kickstarter
C9,nearly million americans suffer from hearing loss the third most common health problem in the united states
C9,today billion youth worldwide are at risk of developing hearing loss due to unsafe listening practices
C1,hearing is a precious gift and its loss can negatively affect our educational professional and social lives
C5,the magnitude of our dream of producing highquality safe sound is too large us to do alone we are bringing our mission to the kickstarter community
C8,your pledge will contribute to our quest together we can develop aegis pro headphones that will revolutionize auditory safety the current generation generations to come
C2,we worked hard engineering our headphones to be ready high quality high volume production
C4,with fully functional working prototypes all the electronic components and digital signal processing boards tested by dozens of acoustic engineers and comply with our design specifications
C10,with the technological challenges behind us our production partner is waiting our green light
C7,all we is you
C7,your support and the backing from kickstarter will enable us to fulfill our mission to bring safer volume technology to the public
C8,with your pledge we can
C10,procure components production
C10,invest in mechanical tooling to reduce manufacturing costs
C4,cover certification compliance and testing costs bluetooth battery certification un msds fcc certification ca certification cpsia certification
C8,fulfill our expectation to deliver the production of aegis pro headphones k units in january we are excited to keep our backers updated with our progress
C2,kingsley cheng cofounder
C2,upcoming junior in high school kingsley hopes to help his father to establish aegis acoustics international company that delivers audiophile quality products to consumers
C2,he hopes to attend stanford or the united states naval academy and is proud to be a cofounder of aegis
C2,rayman cheng cofounder
C2,rayman cheng our cofounder is a wellrespected consumer electronics industry veteran with close to billion of relevant procurement experience
C2,after working chief merchant in several highprofile consumer electronics companies he leads the sales and procurement functions of the company
C2,he is alumni at the stanford graduate school of business
C2,dr anthony lye cofounder
C2,dr anthony lye our cofounder is a serial entrepreneur in asia
C2,he is a graduate of oxford university and imperial college london
C2,with his vast experience and practical foresight he drives the business strategy and ensures sustainable growth of the company
C2,established in the sound engineering industry two decades gates is versed in todays sound technology
C3,he has spearheaded numerous patented technologies awardwinning audio products and collaborated with multiple world renowned audio brands
C2,he is the chief technology ofcer aegis acoustics breathing life into our headphones
C2,his passion continues to drive him a journey to revolutionalise the way we listen to music
C2,aaron blumenshine visual design consultant
C2,a skilled visual designer aaron got involved in uiux imagery while studying in london
C2,native to and based in silicon valley he specializes in visual media production photography and videography
C2,having worked with zynga merrill lynch nasa zocdoc and stanford university among others aaron brings his expertise to aegis making him a key component to the team
C2,i told you a million times you are going to lose your hearing
C9,did you know hearing loss is the thermost common health problem in the us today and billion people worldwide are risk of permanent hearing loss to the unsafe listening practice
C2,my name is kingsley cheng a student and a teenager music plays a big part of my life
C2,in most teenagers i tend to listen to my music the louder side
C1,my parents constantly up my case whenever they here the music leaking through my headphones
C1,something has to change
C9,after conduct extensive research we concluded the exposure to excessively loud sound or noises can quickly result in permanent hearing damage example most portable audio voice today contracted sounds equivalent to that of a rock concert
C1,at level permanent hearing damage occur in little minutes
